web-scraper-order,web-scraper-start-url,album_link,album_link-href,download_link,download_link-href,artist,title
"1648562452-473","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/568-the-old-world/","null","null","[ˈɡlasnəsʲtʲ]","[ˈɡlasnəsʲtʲ] – The Old World [2014] [Album]"
"1648562406-452","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/664-lambs/","Download","https://pandacd.io/index.php?p=release&action=download&id=1566","Lambs","Lambs – Lambs [2013] [Album]"
"1648562297-403","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/124-hardcore-fix-vol-one/","null","null","DJ Davies","DJ Davies and MC Skatty – Hardcore Fix Vol One [2010] [Demo]"
"1648562363-433","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/57-the-biggest-conch-shell-ive-ever-seen/","null","null","Toads, Inc.","Toads, Inc. – The Biggest Conch Shell I've Ever Seen [2009] [Album]"
"1648562474-482","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/539-killah-cullah/","Download","https://pandacd.io/index.php?p=release&action=download&id=1774","Cullah","Cullah – Killah Cullah [2008] [Album]"
"1648562419-458","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/655-the-sun/","Download","https://pandacd.io/index.php?p=release&action=download&id=1544","Cambrian Explosion","Cambrian Explosion – The Sun [2013] [EP]"
"1648562439-467","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/639-last-spring/","null","null","bertycox","bertycox – Last Spring [2009] [Album]"
"1648562327-417","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/93-celtic-dream/","null","null","zero-project","zero-project – celtic dream [2010] [Album]"
"1648562391-446","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/743-fire/","null","null","Serious Mastering","Serious Mastering – Fire [2002] [Album]"
"1648562323-415","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/96-360/","null","null","Asura (Red Puma)","Asura (Red Puma) – 360 [2011] [Album]"
"1648562368-435","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/48-supposed-to-smile/","null","null","Awkward Paws","Awkward Paws – Supposed to Smile [2010] [Album]"
"1648562340-423","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/86-8-bit-lagerfeuer/","null","null","pornophonique","pornophonique – 8-bit lagerfeuer [2007] [Album]"
"1648562431-463","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/643-broken-piano/","null","null","bertycox","bertycox – Broken Piano [2009] [Album]"
"1648562450-472","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/572-cellula-mesenchymatica-praecursoria/","null","null","[ˈɡlasnəsʲtʲ]","[ˈɡlasnəsʲtʲ] – Cellula Mesenchymatica Praecursoria [2015] [Album]"
"1648562348-426","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/78-conversations-with-myself/","null","null","Wauterboi","Wauterboi – Conversations With Myself [2009] [EP]"
"1648562557-509","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/437-crimes/","Download","https://pandacd.io/index.php?p=release&action=download&id=981","Seatraffic","Seatraffic – Crimes [2012] [EP]"
"1648562314-411","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/100-versteck/","null","null","pablo denegri","pablo denegri – Versteck [2010] [EP]"
"1648562329-418","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/92-bread-circus/","null","null","fidget","fidget – bread & circus [2011] [EP]"
"1648562598-517","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/403-shoutalong/","Download","https://pandacd.io/index.php?p=release&action=download&id=894","Man & Ghost","Man & Ghost – Shoutalong [2012] [Single]"
"1648562435-465","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/641-filmo-graf/","null","null","bertycox","bertycox – Film'O Graf [2009] [Album]"
"1648562305-407","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/108-brothers/","null","null","Juho the Panda","Juho the Panda – Brothers [2011] [Album]"
"1648562446-470","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/635-robot-in-love/","null","null","bertycox","bertycox – Robot in Love [2009] [Album]"
"1648562303-406","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/109-cant-sleep/","null","null","Dj Vax1","Dj Vax1 – Can't Sleep [2011] [EP]"
"1648562370-436","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/34-beneath-us/","null","null","Adore","Adore – Beneath Us [2008] [EP]"
"1648562366-434","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/55-long-live-the-chupacabra/","null","null","Lechuguillas","Lechuguillas – Long Live The Chupacabra [2009] [Album]"
"1648562396-448","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/714-cullahtivation/","null","null","Cullah","Cullah – Cullahtivation [2020] [Album]"
"1648562381-441","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/749-my-first-album/","null","null","Kizito","Kizito – My First Album [2021] [Album]"
"1648562478-484","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/535-the-24-hour-japanese-torture-comedy-marathon/","null","null","Japanese Torture Comedy Hour","Japanese Torture Comedy Hour – The 24 hour Japanese Torture Comedy Marathon [2011] [Album]"
"1648562342-424","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/84-get-confident-stupid/","null","null","Christian McKee","Christian McKee – Get Confident, Stupid [2011] [EP]"
"1648562530-507","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/445-simplicity-if-nothing-else/","Download","https://pandacd.io/index.php?p=release&action=download&id=1004","Nostalgic Story","Nostalgic Story – Simplicity If Nothing Else [2012] [Album]"
"1648562359-431","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/64-dialect/","null","null","dialect","dialect – dialect [2009] [Album]"
"1648562519-502","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/509-i-just-wanna-listen-to-iron-maiden/","null","null","XsaladcrusherX","XsaladcrusherX – I Just Wanna Listen To Iron Maiden [2012] [EP]"
"1648562482-486","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/532-still-sampler/","null","null","Weekend Nachos","Weekend Nachos – Still (Sampler) [2013] [Single]"
"1648562325-416","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/95-creating-worlds/","null","null","Dom The Bear","Dom The Bear – Creating Worlds [2011] [Album]"
"1648562594-515","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/415-warrior/","Download","https://pandacd.io/index.php?p=release&action=download&id=933","Big Mean Sound Machine","Big Mean Sound Machine – Warrior [2012] [Album]"
"1648562299-404","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/114-the-nevercity-memories/","null","null","Bekeschus","Bekeschus and The Marx Trukker – The Nevercity Memories [2011] [EP]"
"1648562376-439","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/5-the-scrams/","null","null","The Scrams","The Scrams – The Scrams [2010] [Album]"
"1648562527-506","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/486-shame/","null","null","No Omega","No Omega – Shame [2013] [Album]"
"1648562398-449","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/713-spectacullah/","null","null","Cullah","Cullah – Spectacullah [2019] [Album]"
"1648562415-456","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/660-blue-again/","Download","https://pandacd.io/index.php?p=release&action=download&id=1558","Demon Cleaner","Demon Cleaner – Blue Again [2014] [Album]"
"1648562587-512","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/423-broken-fences/","Download","https://pandacd.io/index.php?p=release&action=download&id=950","Broken Fences","Broken Fences – Broken Fences [2012] [Album]"
"1648562301-405","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/112-exploratory-button-pushing/","null","null","1dB","1dB – Exploratory Button Pushing [2011] [EP]"
"1648562465-478","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/546-dogapede/","null","null","Deer Legs","Deer Legs – Dogapede [2013] [Album]"
"1648562333-420","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/90-asynchronous-io/","null","null","Datacrashrobot","Datacrashrobot – Asynchronous I/O [2011] [Album]"
"1648562512-499","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/512-live-and-learn/","null","null","XsaladcrusherX","XsaladcrusherX – Live And Learn [2012] [EP]"
"1648562312-410","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/102-purtati-de-vant/","null","null","Keno","Keno – Purtati de vant [2010] [Single]"
"1648562344-425","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/82-the-place-that-i-call-home/","null","null","Perfect Me","Perfect Me – The Place That I Call Home [2010] [EP]"
"1648562472-481","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/542-dawn-of-the-braindead/","null","null","The Braindead Gang","The Braindead Gang – Dawn of the Braindead [2012] [Mixtape]"
"1648562532-508","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/444-asimov-music-inspired-by-the-writings-of/","Download","https://pandacd.io/index.php?p=release&action=download&id=1002","Lee Rosevere","Lee Rosevere – Asimov (music inspired by the writings of) [2012] [Album]"
"1648562444-469","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/636-new-day/","null","null","bertycox","bertycox – New Day [2009] [Album]"
"1648562351-427","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/77-ep-volume-i/","null","null","Munn til Munn Metoden","Munn til Munn Metoden – EP Volume I [2010] [EP]"
"1648562448-471","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/608-malignant-cove/","Download","https://pandacd.io/index.php?p=release&action=download&id=1471","adcBicycle","adcBicycle – Malignant Cove [2015] [Album]"
"1648562493-491","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/521-the-stench-of-aquacat/","null","null","Aquacat","Aquacat and The Stench Of Death – The Stench Of Aquacat [2013] [EP]"
"1648562506-497","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/515-scumstache/","null","null","XsaladcrusherX","XsaladcrusherX – Scumstache [2012] [EP]"
"1648562495-492","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/520-the-northern-darkness-marches-through-the-coldest-night/","null","null","Funeral Hammer","Funeral Hammer and XsaladcrusherX – The Northern Darkness Marches Through The Coldest Night [2013] [EP]"
"1648562383-442","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/748-mobius-red/","null","null","Serious Mastering","Serious Mastering – Mobius - Red [2020] [Album]"
"1648562459-475","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/559-love-the-drummer/","null","null","QQROACH","QQROACH – LOVE THE DRUMMER [2014] [Single]"
"1648562295-402","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/125-hardcore-fix-vol-two-the-stocking-filler/","null","null","DJ Davies","DJ Davies and MC Skatty – Hardcore Fix Vol Two (The Stocking Filler) [2010] [Demo]"
"1648562404-451","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/677-ex-woes/","null","null","Now Endeavor","Now Endeavor – Ex & Woes [2015] [Album]"
"1648562609-521","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/331-z/","Download","https://pandacd.io/index.php?p=release&action=download&id=688","equalszee","equalszee – =Z [2011] [Album]"
"1648562421-459","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/654-everyting-so-stoned-everything-is-bad/","Download","https://pandacd.io/index.php?p=release&action=download&id=1545","Helicalin","Helicalin – Everyting So Stoned, Everything Is Bad [2015] [EP]"
"1648562467-479","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/545-%c2%ad/","null","null","XsaladcrusherX","XsaladcrusherX – ­- [2013] [Album]"
"1648562600-518","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/400-orange-forest/","Download","https://pandacd.io/index.php?p=release&action=download&id=888","Gavin Coetzee","Gavin Coetzee – Orange Forest [2011] [Album]"
"1648562413-455","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/661-s-c-i-e-n-c-e/","Download","https://pandacd.io/index.php?p=release&action=download&id=1560","Elephant In The Room","Elephant In The Room – S-C-I-E-N-C-E [2014] [EP]"
"1648562510-498","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/514-fuck/","null","null","XsaladcrusherX","XsaladcrusherX – Fuck. [2012] [EP]"
"1648562372-437","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/32-gambling-on-the-richter-scale/","null","null","Kowloon Walled City","Kowloon Walled City – Gambling on the Richter Scale [2009] [Album]"
"1648562489-489","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/527-this-should/","Download","https://pandacd.io/index.php?p=release&action=download&id=1361","seedmole","seedmole – This Should [2012] [Album]"
"1648562361-432","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/61-the-mercy-untold/","null","null","Society's Plague","Society's Plague – The Mercy Untold [2009] [EP]"
"1648562437-466","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/640-free-climb/","null","null","bertycox","bertycox – Free Climb [2009] [Album]"
"1648562589-513","https://pandacd.io/index.php?order_by=seeders&page=17","","https://pandacd.io/release/419-for-clouds/","Download","https://pandacd.io/index.php?p=release&action=download&id=942","Stories From The Lost","Stories From The Lost – For Clouds [2012] [Album]"
"1648562389-445","https://pandacd.io/index.php?order_by=seeders&page=20","","https://pandacd.io/release/744-life/","null","null","Serious Mastering","Serious Mastering – Life [2017] [Album]"
"1648562457-474","https://pandacd.io/index.php?order_by=seeders&page=18","","https://pandacd.io/release/562-river-radio-edit/","Download","https://pandacd.io/index.php?p=release&action=download&id=1418","QQROACH","QQROACH – RIVER (Radio Edit) [2014] [Single]"
"1648562411-454","https://pandacd.io/index.php?order_by=seeders&page=19","","https://pandacd.io/release/662-should-we-make-it-xxxtra-creamy/","Download","https://pandacd.io/index.php?p=release&action=download&id=1562","The Jim Tablowski Experience","The Jim Tablowski Experience – SHOULD WE MAKE IT XXXTRA CREAMY ?? [2015] [Album]"
"1648562316-412","https://pandacd.io/index.php?order_by=seeders&page=21","","https://pandacd.io/release/99-loophole/","null","null","Greendjohn","Greendjohn – Loophole [2011] [Album]"
