title,artist,magnet
JKD – campus [2012] [EP],JKD,magnet:?xt=urn:btih:57eadf74e4edc381392a122a2c6e44defca58d3d&dn=JKD+-+campus+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Wet Wings – Skin to Soil [2010] [EP],Wet Wings,magnet:?xt=urn:btih:896eda1ca91099ab8c683bc39ae7cbcc98bca006&dn=Wet+Wings+-+Skin+to+Soil+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Velislav Ivanov – Тъй близко до самия небосвод (So close to the sky itself) [2008] [Album],Velislav Ivanov,magnet:?xt=urn:btih:41e15bac40da67fb97bb19e17adff304ac619a23&dn=So+close+to+the+sky+itself&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
My bubba & Mi – Wild & You [2011] [EP],My bubba & Mi,magnet:?xt=urn:btih:7775557829f1c547bba0024ad2bc9c704abab97a&dn=My+bubba+%26+Mi+-+Wild+%26+You+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Adore – Distorted Minds [2010] [Album],Adore,magnet:?xt=urn:btih:3fd3beaabd01c40a5e3dbaaa8fd683e7d4652ef5&dn=Adore+-+%5B2010%5D+Distorted+Minds+(A)+%5BV0%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Squanto – Go Go Gadget Grass Stains [2009] [Album],Squanto,magnet:?xt=urn:btih:88a0ea668f67c2716b7415ca5237902a97d3fbe5&dn=Go+Go+Gadget+Grass+Stains&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Tortilla Pass – The Secret Deity [2012] [EP],Tortilla Pass,magnet:?xt=urn:btih:d8d82b106361dfb73199d6bf993621b032be01b1&dn=Tortilla+Pass+-+The+Secret+Deity+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Boatrocker – Delicious Jams [2011] [Album],Boatrocker,magnet:?xt=urn:btih:799927b1c7e89920ccfd3140fe8a507b64c0b132&dn=Boatrocker+-+Delicious+Jams&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
UV Tourist – I Thought You Were Drone [2011] [EP],UV Tourist,magnet:?xt=urn:btih:5c8bc0399ebea714abed8371a4797f5400bb1a02&dn=UV+Tourist+-+I+Thought+You+Were+Drone+%5B320%5D&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Oven Rake – Dead Bear Mountain [2010] [Album],Oven Rake,magnet:?xt=urn:btih:70c727a939ae16dde7b0535af0912bb6bd4b9504&dn=Oven+Rake+-+Dead+Bear+Mountain+(2010)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Holmes – Wolves [2008] [Album],Holmes,magnet:?xt=urn:btih:f66dafc9b4d8db41d7dd7c653b30f6290dfc342e&dn=Holmes+-+Wolves+(2008)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
The Echelon Effect – Seasons Part 2 [2011] [Album],The Echelon Effect,magnet:?xt=urn:btih:90209e9b32d5ad7805d4801f778eb8562396a543&dn=The+Echelon+Effect+-+Seasons+Part+2+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Sadsic – Symbol 2 [2012] [Album],Sadsic,magnet:?xt=urn:btih:0885b5801d5fb3ef5f1cabc531bfb7c1b0c82d5a&dn=Sadsic+-+Symbol+2+(2012)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
ARCHNGL with Liisa Lagoun – ARCHNGL [2011] [EP],ARCHNGL,magnet:?xt=urn:btih:990f1a658ad07e525ac5fb7ba1718beb76feaac0&dn=ARCHNGL+-+ARCHNGL+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
Adey – Rogue [2011] [Album],Adey,magnet:?xt=urn:btih:0df1faf0103e81e717ea2078fb67697f566e260e&dn=Adey+-+Rogue+(320)&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
You Me and The People – From the Attic [2011] [Demo],You Me and The People,magnet:?xt=urn:btih:04aed31a2d5faa6568d86e3d6c376ee6e8b12215&dn=You+Me+and+The+People+-+From+the+Attic+(demos)+(2011)+320&tr=udp%3A%2F%2Ftracker.pandacd.io%3A2710
